park_name,branch_code,stage,route_code,route_name,route_code_2,route_name_2,strata,treat_route,treatment_window,Time (start hour),in_treatment_window,Number of observations,Observed average frequency (oaf),iqr_oaf,p25_oaf,p50_oaf,p75_oaf,route_fare
kisenyi_gwanda,13,13: Namasuba,nama_lubu_g,LUBUGUMU,nama_0001_g,Lubugumu / Zzana (Merged),C,Yes (only if merged with nama_zzan_g),11-3,14,1,23,64.6521739130435,42,35,55,77,3000
kisenyi_gwanda,13,13: Namasuba,nama_zzan_g,ZZANA,nama_0001_g,Lubugumu / Zzana (Merged),C,Yes (only if merged with nama_lubu_g),11-3,11,1,8,93.25,28,74.5,84,102.5,3000
kisenyi_gwanda,13,13: Namasuba,nama_zzan_g,ZZANA,nama_0001_g,Lubugumu / Zzana (Merged),C,Yes (only if merged with nama_lubu_g),11-3,12,1,19,75.6315789473684,55,39,74,94,3000
kisenyi_gwanda,13,13: Namasuba,nama_zzan_g,ZZANA,nama_0001_g,Lubugumu / Zzana (Merged),C,Yes (only if merged with nama_lubu_g),11-3,13,1,16,48.0625,27,37.25,47.5,64.25,3000
kisenyi_gwanda,13,13: Namasuba,nama_zzan_g,ZZANA,nama_0001_g,Lubugumu / Zzana (Merged),C,Yes (only if merged with nama_lubu_g),11-3,14,1,22,65.1818181818182,43.5,35,60,78.5,3000
kisenyi_gwanda,14,14: Nyanama,nyan_nfuu_g,NFUUFU,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_zana_g),12-4,12,1,3,52.6666666666667,15,46,56,61,2500
kisenyi_gwanda,14,14: Nyanama,nyan_nfuu_g,NFUUFU,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_zana_g),12-4,13,1,6,74.6666666666667,20.25,55,64,75.25,2500
kisenyi_gwanda,14,14: Nyanama,nyan_nfuu_g,NFUUFU,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_zana_g),12-4,14,1,12,41,32.75,21.25,40,54,2500
kisenyi_gwanda,14,14: Nyanama,nyan_nfuu_g,NFUUFU,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_zana_g),12-4,15,1,25,50.4,45,30,40,75,2500
kisenyi_gwanda,14,14: Nyanama,nyan_zana_g,ZANA,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_nfuu_g),12-4,12,1,3,52.6666666666667,15,46,56,61,2000
kisenyi_gwanda,14,14: Nyanama,nyan_zana_g,ZANA,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_nfuu_g),12-4,13,1,7,82.7142857142857,47,58,64,105,2000
kisenyi_gwanda,14,14: Nyanama,nyan_zana_g,ZANA,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_nfuu_g),12-4,14,1,12,41,32.75,21.25,40,54,2000
kisenyi_gwanda,14,14: Nyanama,nyan_zana_g,ZANA,nyan_0001_g,Nfuufu / Zana (Merged),B,Yes (only if merged with nyan_nfuu_g),12-4,15,1,26,53.0384615384615,45,30,40.5,75,2000
kisenyi_gwanda,15,15: Ggaba,ggab_spek_g,SPEKE RESORT,ggab_spek_g,Speke Resort,A,Yes,9-1,9,1,20,53.55,69.5,18.5,36.5,88,2000
kisenyi_gwanda,15,15: Ggaba,ggab_spek_g,SPEKE RESORT,ggab_spek_g,Speke Resort,A,Yes,9-1,10,1,18,31.9444444444444,35.25,13.25,20.5,48.5,2000
kisenyi_gwanda,15,15: Ggaba,ggab_spek_g,SPEKE RESORT,ggab_spek_g,Speke Resort,A,Yes,9-1,11,1,17,68.2941176470588,85,26,43,111,2000
kisenyi_gwanda,15,15: Ggaba,ggab_spek_g,SPEKE RESORT,ggab_spek_g,Speke Resort,A,Yes,9-1,12,1,24,56.625,70.75,21.5,48.5,92.25,2000
kisenyi_gwanda,17,17: Namugongo,namu_buke_g,BUKERERE,namu_buke_g,Bukerere,C,Yes?,11-3,11,1,8,73.125,25.25,49.5,63.5,74.75,3000
kisenyi_gwanda,17,17: Namugongo,namu_buke_g,BUKERERE,namu_buke_g,Bukerere,C,Yes?,11-3,12,1,11,85.8181818181818,41.5,60,87,101.5,3000
kisenyi_gwanda,17,17: Namugongo,namu_buke_g,BUKERERE,namu_buke_g,Bukerere,C,Yes?,11-3,13,1,10,69.9,34.5,47.5,60,82,3000
kisenyi_gwanda,17,17: Namugongo,namu_buke_g,BUKERERE,namu_buke_g,Bukerere,C,Yes?,11-3,14,1,5,107.8,70,80,100,150,3000
kisenyi_gwanda,17,17: Namugongo,namu_kira_g,KIRA,namu_kira_g,Kira,C,Yes?,11-3,11,1,4,83.25,55.25,46,64,101.25,3000
kisenyi_gwanda,17,17: Namugongo,namu_kira_g,KIRA,namu_kira_g,Kira,C,Yes?,11-3,12,1,6,86.1666666666667,39.25,65.25,95,104.5,3000
kisenyi_gwanda,17,17: Namugongo,namu_kira_g,KIRA,namu_kira_g,Kira,C,Yes?,11-3,13,1,7,88.8571428571429,32.5,65,82,97.5,3000
kisenyi_gwanda,17,17: Namugongo,namu_kira_g,KIRA,namu_kira_g,Kira,C,Yes?,11-3,14,1,4,78.75,33.75,58.75,72.5,92.5,3000
kisenyi_gwanda,17,17: Namugongo,namu_namu_g,NAMUGONGO,namu_namu_g,Namugongo,C,Yes?,11-3,11,1,11,81.8181818181818,26,54,70,80,3000
kisenyi_gwanda,17,17: Namugongo,namu_namu_g,NAMUGONGO,namu_namu_g,Namugongo,C,Yes?,11-3,12,1,15,89.1333333333333,35,70,95,105,3000
kisenyi_gwanda,17,17: Namugongo,namu_namu_g,NAMUGONGO,namu_namu_g,Namugongo,C,Yes?,11-3,13,1,11,69.4545454545455,28.5,57.5,70,86,3000
