park_name,branch_code,stage,strata,route_code_2,route_name_2,Time (start hour),Observed average frequency (oaf),p75_oaf,max_route_fare,target_freq_route,calculated_payments
kisenyi_gwanda,19,19: Kajjansi,C,kajj_kajj_g,Kajjansi,12,51.9655172413793,60,4000,25,8.166666666666666
kisenyi_gwanda,19,19: Kajjansi,C,kajj_kajj_g,Kajjansi,13,47.4814814814815,60.5,4000,25,8.214876033057852
kisenyi_gwanda,19,19: Kajjansi,C,kajj_kajj_g,Kajjansi,14,41.6129032258064,55.5,4000,25,7.693693693693693
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,B,ssem_movi_g,Movit,16,46.2,50,2000,25,7.000000000000001
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,B,ssem_movi_g,Movit,17,51.4210526315789,58,2000,25,7.9655172413793105
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,B,ssem_past_g,Pastor Tom,14,64.0714285714286,86,2000,30,9.116279069767442
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,B,ssem_past_g,Pastor Tom,15,57.9230769230769,82,2000,30,8.878048780487806
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,B,ssem_past_g,Pastor Tom,16,50.1875,60.25,2000,30,7.029045643153527
kisenyi_gwanda,22,22: Ssembule / Pastor Tom Mutundwe,B,ssem_past_g,Pastor Tom,17,56.9523809523809,75,2000,30,8.4
kisenyi_gwanda,26,26: Salaama-Munyonyo,B,sala_muny_g,Munyonyo Round About,12,70.8421052631579,84,2000,30,9
kisenyi_gwanda,26,26: Salaama-Munyonyo,B,sala_muny_g,Munyonyo Round About,13,64.2380952380952,84,2000,30,9
kisenyi_gwanda,26,26: Salaama-Munyonyo,B,sala_muny_g,Munyonyo Round About,14,61.8095238095238,80,2000,30,8.75
kisenyi_gwanda,26,26: Salaama-Munyonyo,B,sala_muny_g,Munyonyo Round About,15,59.2,70,2000,30,8
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,B,ruba_nate_g,Nateete Street Lights,12,59.5,74.25,2000,25,9.286195286195285
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,B,ruba_nate_g,Nateete Street Lights,13,48.9166666666667,57.75,2000,25,7.9393939393939394
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,B,ruba_nate_g,Nateete Street Lights,14,33,40.75,2000,25,5.411042944785276
kisenyi_gwanda,27,27: Rubaga Road-Nateete / Nateete-Rubaga Road,B,ruba_nate_g,Nateete Street Lights,15,38.8,39,2000,25,5.0256410256410255
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0001_g,Lugala / Masanafu / Nasere (Merged),9,43.551282051282065,59.583333333333336,2000,20,9.300699300699302
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0001_g,Lugala / Masanafu / Nasere (Merged),10,45.4102564102564,62,2000,20,9.483870967741936
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0001_g,Lugala / Masanafu / Nasere (Merged),11,30.23333333333333,40,2000,20,7
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0001_g,Lugala / Masanafu / Nasere (Merged),12,29.271284271284266,40,2000,20,7
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),9,46.347619047619034,62.5,2000,20,9.52
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),10,40.5,51.25,2000,20,8.536585365853659
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),11,42.31054131054133,56.166666666666664,2000,20,9.014836795252226
kisenyi_gwanda,28,28: Lugala-Masanafu,A,luga_0002_g,Buyera-Temangaro / Kawoko / Bujjuko (Merged),12,45.433621933621936,60.833333333333336,2000,20,9.397260273972604
kisenyi_gwanda,30,30: Kawempe,A,kawe_matu_g,Matugga,9,56.3,64.25,2500,25,8.552529182879377
kisenyi_gwanda,30,30: Kawempe,A,kawe_matu_g,Matugga,10,51.0740740740741,64,2500,25,8.53125
kisenyi_gwanda,30,30: Kawempe,A,kawe_matu_g,Matugga,11,42.6428571428571,51,2500,25,7.137254901960785
kisenyi_gwanda,30,30: Kawempe,A,kawe_matu_g,Matugga,12,41.8,54,2500,25,7.518518518518518
new_taxi_park,102,102: Nateete Wakaliga Busega,E,waka_buse_n,Busega Round About,10,44.0833333333333,52.5,2000,20,8.666666666666666
new_taxi_park,102,102: Nateete Wakaliga Busega,E,waka_buse_n,Busega Round About,11,39.7407407407407,52,2000,20,8.615384615384615
new_taxi_park,102,102: Nateete Wakaliga Busega,E,waka_buse_n,Busega Round About,12,43.0666666666667,42.25,2000,20,7.372781065088758
new_taxi_park,102,102: Nateete Wakaliga Busega,E,waka_buse_n,Busega Round About,13,31.8636363636364,40.75,2000,20,7.1288343558282214
new_taxi_park,103,103: Mukono A,F,muka_muko_n,Mukono Watoni,11,57.7333333333333,66,4000,30,7.636363636363637
new_taxi_park,103,103: Mukono A,F,muka_muko_n,Mukono Watoni,12,51.25,70.5,4000,30,8.042553191489363
new_taxi_park,103,103: Mukono A,F,muka_muko_n,Mukono Watoni,13,64.1428571428571,67,4000,30,7.731343283582089
new_taxi_park,103,103: Mukono A,F,muka_muko_n,Mukono Watoni,14,52.7368421052632,66,4000,30,7.636363636363637
new_taxi_park,104,104: Luzira,G,luzi_luzi_n,Luzira,11,60.24,80,2500,30,8.75
new_taxi_park,104,104: Luzira,G,luzi_luzi_n,Luzira,12,66.7692307692308,94,2500,30,9.53191489361702
new_taxi_park,104,104: Luzira,G,luzi_luzi_n,Luzira,13,67.9230769230769,87.75,2500,30,9.213675213675213
new_taxi_park,104,104: Luzira,G,luzi_luzi_n,Luzira,14,53.6875,67.75,2500,30,7.800738007380074
new_taxi_park,105,105: Bweyogerere,D,bwey_bwey_n,Bweyogerere,9,48.875,65.5,3000,35,6.519083969465648
new_taxi_park,105,105: Bweyogerere,D,bwey_bwey_n,Bweyogerere,10,72.5882352941177,105,3000,35,9.333333333333334
new_taxi_park,105,105: Bweyogerere,D,bwey_bwey_n,Bweyogerere,11,70.4444444444444,92,3000,35,8.673913043478262
new_taxi_park,105,105: Bweyogerere,D,bwey_bwey_n,Bweyogerere,12,85.3125,115.5,3000,35,9.757575757575758
